名前,生誕日,享年,wiki,肖像
織田信長,1534-07-03,49,https://ja.wikipedia.org/wiki/織田信長,/files/nob.jpg
豊臣秀吉,1537-03-27,62,https://ja.wikipedia.org/wiki/豊臣秀吉,/files/hide.jpg
徳川家康,1543-02-10,75,https://ja.wikipedia.org/wiki/徳川家康,/files/yas.jpg
